epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.594,2.08284,4.60373,1.67802,0.98072,0.60225,0.60975,0.50652,1.69604,11.8836,1.36024,0.00011432,0.00011432,0.00011432
2,352.549,1.20252,1.62037,1.07167,0.61611,0.72246,0.71541,0.49797,1.33199,3.34489,1.2508,0.000234913,0.000234913,0.000234913
3,513.379,1.1354,1.32158,1.03119,0.88269,0.74526,0.84003,0.62808,1.14683,2.26495,1.18288,0.000347018,0.000347018,0.000347018
4,670.268,1.08618,1.11899,1.0067,0.8699,0.80651,0.8462,0.65133,1.09252,2.06863,1.10923,0.000450635,0.000450635,0.000450635
5,830.1,1.06192,0.99167,1.00182,0.93891,0.85773,0.89906,0.64827,1.14943,1.42474,1.10092,0.000545764,0.000545764,0.000545764
6,990.658,1.05444,0.93987,0.9765,0.86512,0.77789,0.90837,0.68384,1.12716,1.30918,1.05341,0.000632404,0.000632404,0.000632404
7,1146.87,0.9782,0.85705,0.97213,0.95123,0.83665,0.90894,0.70627,1.04222,1.18102,1.05335,0.000710556,0.000710556,0.000710556
8,1303.18,0.96517,0.79773,0.97193,0.85188,0.75882,0.9085,0.69718,1.06325,1.45553,1.11839,0.00078022,0.00078022,0.00078022
9,1458.58,0.94429,0.71852,0.96222,0.63923,0.57748,0.77966,0.54743,1.17718,1.9167,1.12911,0.000841395,0.000841395,0.000841395
10,1628.63,0.96321,0.7164,0.95399,0.82776,0.76493,0.90964,0.72968,1.01582,1.02546,1.01609,0.000894082,0.000894082,0.000894082
11,1779.25,0.8836,0.67412,0.9414,0.81024,0.80587,0.92301,0.71109,1.04379,1.00732,1.04517,0.000938281,0.000938281,0.000938281
12,1928.22,0.92483,0.68337,0.94728,0.96683,0.86349,0.94444,0.74175,1.0464,0.82975,1.06249,0.000910273,0.000910273,0.000910273
13,2105.24,0.91715,0.6742,0.93136,0.95271,0.85779,0.94028,0.74355,0.92299,0.74968,0.98226,0.000863116,0.000863116,0.000863116
14,2274.73,0.91626,0.64081,0.91743,0.9756,0.85339,0.94701,0.74795,0.96303,0.74181,0.97225,0.000815959,0.000815959,0.000815959
15,2449.3,0.88282,0.64594,0.91607,0.95281,0.826,0.94865,0.77031,0.91259,0.68586,0.97081,0.000768802,0.000768802,0.000768802
16,2626.12,0.85094,0.61859,0.92029,0.9683,0.89546,0.96178,0.76961,0.90993,0.66501,0.99045,0.000721645,0.000721645,0.000721645
17,2808.06,0.84554,0.58908,0.90458,0.95214,0.88771,0.95228,0.77509,0.90619,0.64832,1.06206,0.000674488,0.000674488,0.000674488
18,2982.28,0.84348,0.58355,0.88768,0.96399,0.87489,0.96141,0.77791,0.91209,0.63301,0.97171,0.000627331,0.000627331,0.000627331
19,3122.37,0.83687,0.59481,0.89385,0.95274,0.8934,0.96281,0.7807,0.93021,0.60166,0.9554,0.000580174,0.000580174,0.000580174
20,3267.1,0.85186,0.58089,0.89146,0.95617,0.90689,0.96444,0.80672,0.87977,0.61889,0.93053,0.000533017,0.000533017,0.000533017
21,3439.3,0.97282,0.6869,0.875,0.96768,0.88866,0.96455,0.80826,0.90322,0.63143,0.94917,0.00048586,0.00048586,0.00048586
22,3588.14,0.9199,0.66261,0.88054,0.96722,0.8973,0.97341,0.76116,0.94699,0.61416,0.98536,0.000438703,0.000438703,0.000438703
23,3732.16,0.93713,0.63279,0.88717,0.97457,0.89763,0.97558,0.80125,0.84439,0.55758,0.97347,0.000391546,0.000391546,0.000391546
24,3888.1,0.90444,0.60777,0.87534,0.9705,0.90265,0.98041,0.805,0.83646,0.57302,0.94941,0.000344389,0.000344389,0.000344389
25,4048.04,0.92671,0.62598,0.8846,0.97301,0.90563,0.98105,0.79817,0.83638,0.53878,0.94119,0.000297232,0.000297232,0.000297232
26,4214.79,0.91739,0.59164,0.88524,0.97982,0.91953,0.9798,0.82879,0.82583,0.53861,0.92942,0.000250075,0.000250075,0.000250075
27,4372.76,0.8903,0.60849,0.86845,0.98337,0.91745,0.97414,0.81415,0.79583,0.50948,0.91867,0.000202918,0.000202918,0.000202918
28,4513.7,0.88563,0.58997,0.86308,0.97835,0.91185,0.97825,0.80085,0.81493,0.50788,0.91355,0.000155761,0.000155761,0.000155761
29,4672.63,0.88077,0.59309,0.8663,0.97833,0.91201,0.97475,0.81737,0.80049,0.50509,0.8984,0.000108604,0.000108604,0.000108604
30,4834.61,0.86187,0.58136,0.85753,0.97996,0.91153,0.97683,0.81529,0.78778,0.49042,0.89863,6.1447e-05,6.1447e-05,6.1447e-05
